salt,passwd
390,JO89jw09
277,CU13bv07
956,LS24xc53
247,ON49op47
557,PU79rh87
846,RW71os74
351,NM99rf53
805,LZ82kz64
110,AG27ki91
291,YH44ft87
981,PG18ki49
344,GQ96oj48
656,XN42pu31
440,UW60zs08
236,VM82ia21
680,TI21fu31
411,AV49ni79
341,TY89tx58
211,KF04qs96
89,GQ52ke87
606,MN06di04
216,GE89kp69
234,DO56xs80
2,CB95oh43
441,HJ30xi45
777,QT87jx12
889,FW46fc11
287,QV96ug73
981,MJ19ld80
828,FN60rt84
214,XO74te95
420,LN96aw42
861,CU13vw00
694,SX54lj97
187,OB10bg06
279,BW76bx95
18,QF00ec04
981,GO28ap83
639,XP19ei86
239,UI06fz17
105,PI24iw88
488,QT56gv20
587,EP63ql60
90,KJ06xk56
841,UV23om09
941,QL74gj17
634,RW79ln58
8,KY58wn75
836,YN69ro13
60,QL63zq28
880,HO06xt30
61,OI97vt12
319,IP81be62
349,AR77ll81
601,OP74bq03
518,UO90co22
391,KR45on65
176,EW69bu17
855,DK77cs82
680,XB71dy16
367,QQ88qv49
868,QA22cz36
190,QK68pj36
898,TS51pz23
408,JA97gd90
977,XL98hg75
776,IT26xi78
598,DD91hu04
176,KD16ax45
924,GN93eg57
24,FE24wp59
775,KO07qq81
899,WK98pz07
927,RD47jv22
814,GT60rh83
540,EP80te82
323,QO82zu39
759,ND67dd06
768,PL89ni97
246,SL59qo78
969,DZ81ft90
758,LT77ya35
781,VL42fd11
959,NX00by57
348,EB49ei49
333,FF31fx11
210,SA50xz75
495,OL12ap65
737,KB41qj02
434,TH11ld13
657,YR00gj43
849,BR16lq03
489,PC61gt80
904,HA31ub50
407,PU67gz28
339,CG86hc49
127,JB51et36
38,ZN82ds15
725,CQ30xh67
102,KR19jf26
681,EJ65qk38
817,AX59ss91
502,IY38bv12
562,ON85kk01
977,PT04jb81
393,LZ26hd86
311,UL28uu99
90,OQ90nj40
259,YI24jk09
298,VI60jt50
985,XY66pb36
436,KH63me18
109,VL61ed72
841,TD54qm81
265,SN25pj82
46,AA58cs08
850,BA19xp48
250,OH65un93
259,NE94om48
313,UC24um53
338,JJ46df56
217,ZP18un40
484,NW72vs95
719,IN33lp31
565,HS49he78
785,YS01ym99
749,QI99ts21
531,XW47de37
464,UA69vv30
42,RV77hk18
725,JG12wv26
969,QV75ph44
165,AL63se26
231,YJ01os04
627,UZ73an93
296,XK99vd62
796,HV30fb22
595,AY18om27
949,AO22cc87
929,WQ84tx25
895,VP34dl69
724,JH14ox30
615,BD59oq24
224,RC94mp13
646,WZ62bh36
627,UC61cd53
286,ZL02ds76
172,EV42yh87
98,BR48mr66
88,EK92by08
